threads,client_threads,workload,dist,throughput_ops_per_sec
6,128,ycsbc,zipfian,13146717
6,144,ycsbc,zipfian,13115812
6,160,ycsbc,zipfian,13202597
7,8,ycsbb,zipfian,2461989
7,16,ycsbb,zipfian,5008411
7,32,ycsbb,zipfian,9728206
7,64,ycsbb,zipfian,12733678
7,80,ycsbb,zipfian,12918457
7,96,ycsbb,zipfian,13542595
7,112,ycsbb,zipfian,12991212
7,128,ycsbb,zipfian,13159390
7,144,ycsbb,zipfian,13047874
7,160,ycsbb,zipfian,15447297
7,8,ycsbc,zipfian,2425629
7,16,ycsbc,zipfian,5012599
7,32,ycsbc,zipfian,9867676
7,64,ycsbc,zipfian,12789421
7,80,ycsbc,zipfian,12895625
7,96,ycsbc,zipfian,12810845
7,112,ycsbc,zipfian,12780392
7,128,ycsbc,zipfian,12933018
7,144,ycsbc,zipfian,12900982
7,160,ycsbc,zipfian,12934656
8,8,ycsbb,zipfian,2466409
8,16,ycsbb,zipfian,5081030
8,32,ycsbb,zipfian,9890318
8,64,ycsbb,zipfian,12609645
8,80,ycsbb,zipfian,14551775
8,96,ycsbb,zipfian,12793399
8,112,ycsbb,zipfian,12881391
8,128,ycsbb,zipfian,13074875
8,144,ycsbb,zipfian,13049985
8,160,ycsbb,zipfian,13052148
8,8,ycsbc,zipfian,2435559
8,16,ycsbc,zipfian,5008740
8,32,ycsbc,zipfian,9926141
8,64,ycsbc,zipfian,12796025
8,80,ycsbc,zipfian,12933288
8,96,ycsbc,zipfian,13192140
8,112,ycsbc,zipfian,12959099
8,128,ycsbc,zipfian,13073103
8,144,ycsbc,zipfian,13089023
8,160,ycsbc,zipfian,12981421
1,8,ycsba,uniform,1831489
1,16,ycsba,uniform,2034215
1,32,ycsba,uniform,2072115
1,64,ycsba,uniform,2133750
1,80,ycsba,uniform,2129674
1,96,ycsba,uniform,1953296
1,112,ycsba,uniform,2170149
1,128,ycsba,uniform,2169977
1,144,ycsba,uniform,2153150
1,160,ycsba,uniform,2168710
1,8,ycsbb,uniform,1892267
1,16,ycsbb,uniform,2197169
1,32,ycsbb,uniform,2255519
1,64,ycsbb,uniform,2279532
1,80,ycsbb,uniform,2351520
1,96,ycsbb,uniform,2353120
1,112,ycsbb,uniform,2356020
1,128,ycsbb,uniform,2282310
1,144,ycsbb,uniform,2804010
1,160,ycsbb,uniform,3065509
1,8,ycsbc,uniform,1930477
1,16,ycsbc,uniform,2231056
1,32,ycsbc,uniform,2293333
1,64,ycsbc,uniform,2318484
1,80,ycsbc,uniform,2369099
1,96,ycsbc,uniform,2447646
1,112,ycsbc,uniform,2399528
1,128,ycsbc,uniform,2400597
1,144,ycsbc,uniform,2416106
1,160,ycsbc,uniform,2403630
2,8,ycsba,uniform,2394404
2,16,ycsba,uniform,3728798
2,32,ycsba,uniform,4583114
2,64,ycsba,uniform,4795307
2,80,ycsba,uniform,4981968
2,96,ycsba,uniform,4839200
2,112,ycsba,uniform,4931127
2,128,ycsba,uniform,4945703
2,144,ycsba,uniform,4717562
2,160,ycsba,uniform,4900442
2,8,ycsbb,uniform,2388417
2,16,ycsbb,uniform,3909302
2,32,ycsbb,uniform,4882122
2,64,ycsbb,uniform,5327299
2,80,ycsbb,uniform,5336887
2,96,ycsbb,uniform,5645374
2,112,ycsbb,uniform,6011570
2,128,ycsbb,uniform,5343929
2,144,ycsbb,uniform,5407192
2,160,ycsbb,uniform,5452587
2,8,ycsbc,uniform,2355712
2,16,ycsbc,uniform,3953631
2,32,ycsbc,uniform,4965683
2,64,ycsbc,uniform,5273923
2,80,ycsbc,uniform,5221787
2,96,ycsbc,uniform,5498812
2,112,ycsbc,uniform,5374346
2,128,ycsbc,uniform,5298944
2,144,ycsbc,uniform,5355047
2,160,ycsbc,uniform,5367554
3,8,ycsba,uniform,2428616
3,16,ycsba,uniform,4460201
3,32,ycsba,uniform,6721286
3,64,ycsba,uniform,7225438
3,80,ycsba,uniform,7527606
3,96,ycsba,uniform,7770773
3,112,ycsba,uniform,7811407
3,128,ycsba,uniform,7725011
3,144,ycsba,uniform,7546135
3,160,ycsba,uniform,7909411
3,8,ycsbb,uniform,2423326
3,16,ycsbb,uniform,4599627
3,32,ycsbb,uniform,7437546
3,64,ycsbb,uniform,8472552
3,80,ycsbb,uniform,8456705
3,96,ycsbb,uniform,8637265
3,112,ycsbb,uniform,8914563
3,128,ycsbb,uniform,11646357
3,144,ycsbb,uniform,9587931
3,160,ycsbb,uniform,8913151
3,8,ycsbc,uniform,2363670
3,16,ycsbc,uniform,4499945
3,32,ycsbc,uniform,7395875
3,64,ycsbc,uniform,8910579
3,80,ycsbc,uniform,8966698
3,96,ycsbc,uniform,8921653
3,112,ycsbc,uniform,9314681
3,128,ycsbc,uniform,9294948
3,144,ycsbc,uniform,12271870
3,160,ycsbc,uniform,9223384
4,8,ycsba,uniform,2454349
4,16,ycsba,uniform,4921996
4,32,ycsba,uniform,8150767
4,64,ycsba,uniform,9444092
4,80,ycsba,uniform,9864823
4,96,ycsba,uniform,9997591
4,112,ycsba,uniform,9779760
4,128,ycsba,uniform,9857958
4,144,ycsba,uniform,10187284
4,160,ycsba,uniform,11073155
4,8,ycsbb,uniform,2414792
4,16,ycsbb,uniform,4878276
4,32,ycsbb,uniform,8593586
4,64,ycsbb,uniform,10672705
4,80,ycsbb,uniform,11340928
4,96,ycsbb,uniform,11280806
4,112,ycsbb,uniform,12270021
4,128,ycsbb,uniform,11767617
4,144,ycsbb,uniform,12468334
4,160,ycsbb,uniform,11992539
4,8,ycsbc,uniform,2301804
4,16,ycsbc,uniform,4719867
4,32,ycsbc,uniform,8570232
4,64,ycsbc,uniform,11190454
4,80,ycsbc,uniform,11357029
4,96,ycsbc,uniform,11666714
4,112,ycsbc,uniform,12207022
4,128,ycsbc,uniform,11919036
4,144,ycsbc,uniform,12167153
4,160,ycsbc,uniform,14595330
5,8,ycsba,uniform,2443992
5,16,ycsba,uniform,4840416
5,32,ycsba,uniform,8729264
5,64,ycsba,uniform,11730129
5,80,ycsba,uniform,11315440
5,96,ycsba,uniform,12101623
5,112,ycsba,uniform,11440666
5,128,ycsba,uniform,12265812
5,144,ycsba,uniform,12367186
5,160,ycsba,uniform,12114105
5,8,ycsbb,uniform,2430629
5,16,ycsbb,uniform,4819063
5,32,ycsbb,uniform,8967241
5,64,ycsbb,uniform,12389863
5,80,ycsbb,uniform,13838902
5,96,ycsbb,uniform,12698840
5,112,ycsbb,uniform,13363466
5,128,ycsbb,uniform,13056295
5,144,ycsbb,uniform,13153185
5,160,ycsbb,uniform,13249054
5,8,ycsbc,uniform,2286282
5,16,ycsbc,uniform,4730130
5,32,ycsbc,uniform,8968205
5,64,ycsbc,uniform,12676766
5,80,ycsbc,uniform,12796195
5,96,ycsbc,uniform,12927278
5,112,ycsbc,uniform,12932315
5,128,ycsbc,uniform,12961534
5,144,ycsbc,uniform,13063108
5,160,ycsbc,uniform,13223530
6,8,ycsba,uniform,2462962
6,16,ycsba,uniform,4916629
6,32,ycsba,uniform,9308474
6,64,ycsba,uniform,12494247
6,80,ycsba,uniform,12766799
6,96,ycsba,uniform,13293448
6,112,ycsba,uniform,13640196
6,128,ycsba,uniform,12939987
6,144,ycsba,uniform,13203732
6,160,ycsba,uniform,15854204
6,8,ycsbb,uniform,2354046
6,16,ycsbb,uniform,5009033
6,32,ycsbb,uniform,9239907
6,64,ycsbb,uniform,12542704
6,80,ycsbb,uniform,12608429
6,96,ycsbb,uniform,13262861
6,112,ycsbb,uniform,12927935
6,128,ycsbb,uniform,12968851
6,144,ycsbb,uniform,14059792
6,160,ycsbb,uniform,13376514
6,8,ycsbc,uniform,2325755
6,16,ycsbc,uniform,4754839
6,32,ycsbc,uniform,9309334
6,64,ycsbc,uniform,12744456
6,80,ycsbc,uniform,12887676
6,96,ycsbc,uniform,13451926
6,112,ycsbc,uniform,12762615
6,128,ycsbc,uniform,13110887
6,144,ycsbc,uniform,13631392
6,160,ycsbc,uniform,13233115
7,8,ycsba,uniform,2458777
7,16,ycsba,uniform,4930354
7,32,ycsba,uniform,9433582
7,64,ycsba,uniform,13413788
7,80,ycsba,uniform,13218233
7,96,ycsba,uniform,13313997
7,112,ycsba,uniform,13963613
7,128,ycsba,uniform,13822733
7,144,ycsba,uniform,14544727
7,160,ycsba,uniform,13721127
7,8,ycsbb,uniform,2436575
7,16,ycsbb,uniform,4949044
7,32,ycsbb,uniform,9417555
7,64,ycsbb,uniform,12715759
7,80,ycsbb,uniform,12696092
7,96,ycsbb,uniform,12985118
7,112,ycsbb,uniform,12740049
7,128,ycsbb,uniform,13097523
7,144,ycsbb,uniform,12962315
7,160,ycsbb,uniform,13459073
7,8,ycsbc,uniform,2308526
7,16,ycsbc,uniform,4743307
7,32,ycsbc,uniform,9415087
7,64,ycsbc,uniform,12582909
7,80,ycsbc,uniform,12842981
7,96,ycsbc,uniform,12757706
7,112,ycsbc,uniform,12816005
7,128,ycsbc,uniform,13005211
7,144,ycsbc,uniform,13955659
7,160,ycsbc,uniform,13247501
8,8,ycsba,uniform,2467138
8,16,ycsba,uniform,5030267
8,32,ycsba,uniform,9710316
8,64,ycsba,uniform,12531276
8,80,ycsba,uniform,12838391
8,96,ycsba,uniform,13027152
8,112,ycsba,uniform,12957057
8,128,ycsba,uniform,13027118
8,144,ycsba,uniform,13126019
8,160,ycsba,uniform,13140211
8,8,ycsbb,uniform,2419833
8,16,ycsbb,uniform,4926884
8,32,ycsbb,uniform,9612900
8,64,ycsbb,uniform,12628715
8,80,ycsbb,uniform,12885735
8,96,ycsbb,uniform,13021964
8,112,ycsbb,uniform,15806532
8,128,ycsbb,uniform,13024583
8,144,ycsbb,uniform,13082921
8,160,ycsbb,uniform,13689796
8,8,ycsbc,uniform,2291731
8,16,ycsbc,uniform,4757472
8,32,ycsbc,uniform,9648040
8,64,ycsbc,uniform,13102483
8,80,ycsbc,uniform,13202657
8,96,ycsbc,uniform,12958526
8,112,ycsbc,uniform,13823330
8,128,ycsbc,uniform,13004372
8,144,ycsbc,uniform,13647439
8,160,ycsbc,uniform,12947452
4,8,ycsba,zipfian,2497125
4,16,ycsba,zipfian,4948144
4,32,ycsba,zipfian,8838914
4,64,ycsba,zipfian,10501578
4,80,ycsba,zipfian,10662692
4,96,ycsba,zipfian,13311058
4,112,ycsba,zipfian,11173788
4,128,ycsba,zipfian,10839607
4,144,ycsba,zipfian,10818995
